Setting Key,Context,Http Method,Http URL,Parameter description,Setting description
PaymentRetryRules,Tenant,PUT,/settings/payment-retry-rules,,Setting for managing Payment Retry Rules
PaymentRules,Entity,GET,/settings/payment-rules,,Payment Rules settings
PaymentRules,Entity,PUT,/settings/payment-rules,,Payment Rules settings
AllPaymentTerms,Entity,GET,/settings/payment-terms,,Setting to get All Payment Terms
AllPaymentTerms,Entity,POST,/settings/payment-terms,,Setting to get All Payment Terms
PaymentTerm,Entity,GET,/settings/payment-terms/{id},id = Unique Id of the Payment Term,Setting for Payment Term
PaymentTerm,Entity,PUT,/settings/payment-terms/{id},id = Unique Id of the Payment Term,Setting for Payment Term
PaymentTerm,Entity,DELETE,/settings/payment-terms/{id},id = Unique Id of the Payment Term,Setting for Payment Term
ProductAttributesConfigurable,Tenant,GET,/settings/product-attribute-configurable,,Manage Product Attributes
ProductAttributesConfigurable,Tenant,PUT,/settings/product-attribute-configurable,,Manage Product Attributes
AllProductAttributes,Tenant,GET,/settings/product-attributes,,Manage Product Attributes
AllProductAttributes,Tenant,PUT,/settings/product-attributes,,Manage Product Attributes
ProductAttribute,Tenant,GET,/settings/product-attributes/{attribute},attribute = The product attribute key,Manage Product Attributes
ProductAttribute,Tenant,PUT,/settings/product-attributes/{attribute},attribute = The product attribute key,Manage Product Attributes
AllQuoteTemplates,Tenant,GET,/settings/quote-templates,,Setting for all Quote Templates
AllQuoteTemplates,Tenant,POST,/settings/quote-templates,,Setting for all Quote Templates
QuoteTemplate,Tenant,GET,/settings/quote-templates/{id},id = Unique Id of the Quote Template,Setting for Quote Template
QuoteTemplate,Tenant,DELETE,/settings/quote-templates/{id},id = Unique Id of the Quote Template,Setting for Quote Template
AllReasonCodes,Entity,GET,/settings/reason-codes,,Read All Reason Codes
AllReasonCodes,Entity,POST,/settings/reason-codes,,Read All Reason Codes
ReasonCode,Entity,GET,/settings/reason-codes/{id},id = Unique Id of the Reason code,Manage Reason Code
ReasonCode,Entity,PUT,/settings/reason-codes/{id},id = Unique Id of the Reason code,Manage Reason Code
AllReusableBlocks,Entity,GET,/settings/reusable-blocks,,List all Reusable Blocks
AllReusableBlocks,Entity,POST,/settings/reusable-blocks,,Create or update Reusable Blocks
ReusableBlock,Entity,GET,/settings/reusable-blocks/{key},key = Unique identifier of the Reusable Block,Retrieve a Reusable Block
ReusableBlock,Entity,PUT,/settings/reusable-blocks/{key},key = Unique identifier of the Reusable Block,Update a Reusable Block
ReusableBlock,Entity,DELETE,/settings/reusable-blocks/{key},key = Unique identifier of the Reusable Block,Delete a Reusable Block
AllRevenueEventTypes,Entity,GET,/settings/revenue-event-types,,List and create Revenue Event Type
AllRevenueEventTypes,Entity,POST,/settings/revenue-event-types,,List and create Revenue Event Type
RevenueEventType,Entity,GET,/settings/revenue-event-types/{id},id = Unique Id of the Revenue Event Type,Revenue Event Type
RevenueEventType,Entity,PUT,/settings/revenue-event-types/{id},id = Unique Id of the Revenue Event Type,Revenue Event Type
RevenueRecognitionCodeStatus,Entity,GET,/settings/revenue-recognition-code-status,,Revenue Recognition Code Status
RevenueRecognitionCodeStatus,Entity,PUT,/settings/revenue-recognition-code-status,,Revenue Recognition Code Status
AllRevenueRecognitionCodes,Entity,GET,/settings/revenue-recognition-codes,,Revenue Recognition
AllRevenueRecognitionCodes,Entity,POST,/settings/revenue-recognition-codes,,Revenue Recognition
RevenueRecognitionCode,Entity,GET,/settings/revenue-recognition-codes/{id},id = Unique Id of the Revenue Event Type,Revenue Recognition
RevenueRecognitionCode,Entity,PUT,/settings/revenue-recognition-codes/{id},id = Unique Id of the Revenue Event Type,Revenue Recognition
RevenueRecognitionCode,Entity,DELETE,/settings/revenue-recognition-codes/{id},id = Unique Id of the Revenue Event Type,Revenue Recognition
AllRevenueRecognitionModels,Entity,GET,/settings/revenue-recognition-models,,Revenue Recognition Models settings
AllRevenueRecognitionModels,Entity,PUT,/settings/revenue-recognition-models,,Revenue Recognition Models settings
AllRevenueRecognitionRules,Entity,GET,/settings/revenue-recognition-rules,,Manage Revenue Recognition Rules
AllRevenueRecognitionRules,Entity,POST,/settings/revenue-recognition-rules,,Manage Revenue Recognition Rules
RevenueRecognitionRule,Entity,GET,/settings/revenue-recognition-rules/{id},id = Unique Id of the revenue recognition rule,Revenue Recognition Rule
RevenueRecognitionRule,Entity,PUT,/settings/revenue-recognition-rules/{id},id = Unique Id of the revenue recognition rule,Revenue Recognition Rule
RevenueRecognitionRule,Entity,DELETE,/settings/revenue-recognition-rules/{id},id = Unique Id of the revenue recognition rule,Revenue Recognition Rule
RevenueRecognitionRuleActivationStatus,Entity,PUT,/settings/revenue-recognition-rules/{id}/activation,id = Unique Id of the revenue recognition rule,activate Revenue Recognition Rule
RevenueStartDate,Entity,GET,/settings/revenue-start-date,,Setting for Revenue Start Date
RevenueStartDate,Entity,PUT,/settings/revenue-start-date,,Setting for Revenue Start Date
SafeHtmlSetting,Entity,GET,/settings/safe-html-setting,,Setting to enable/disable safe HTML setting
SafeHtmlSetting,Entity,PUT,/settings/safe-html-setting,,Setting to enable/disable safe HTML setting
SecurityPolicy,Tenant,GET,/settings/security-policies,,Setting for Security Policy
SecurityPolicy,Tenant,PUT,/settings/security-policies,,Setting for Security Policy
SharingAttribute,Entity,GET,/settings/sharing-attributes,,Setting for Sharing Attribute
SharingAttribute,Entity,PUT,/settings/sharing-attributes,,Setting for Sharing Attribute
